gene_id	NT1	NT2	NT3	sh1s1	sh1s2	sh1s3	sh2s1	sh2s2	sh2s3
ENSG00000223972	1	12	6	6	6	15	7	3	4
ENSG00000227232	876	969	932	743	666	800	1010	698	980
ENSG00000278267	6	2	12	5	13	2	4	4	7
ENSG00000243485	2	0	5	0	1	3	4	5	7
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	2	1	1	1	0	0
ENSG00000268020	0	0	0	1	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	89	90	83	93	66	112	88	69	90
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	1	0	0	0	0	0	0	0	0
ENSG00000268903	630	603	563	472	435	511	667	482	690
ENSG00000269981	310	348	270	262	231	257	349	293	367
ENSG00000239906	116	168	127	107	94	103	150	123	151
ENSG00000241860	1413	1610	1588	1370	1221	1483	1995	1330	1713
ENSG00000222623	9	4	5	9	7	4	7	10	2
ENSG00000241599	0	1	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	1	0	0	0	2	0
ENSG00000279457	959	1014	966	762	689	883	1049	718	1035
ENSG00000273874	0	2	2	0	2	1	8	3	5
ENSG00000228463	237	268	235	233	230	286	229	154	215
ENSG00000286448	0	0	0	0	0	0	0	3	0
ENSG00000236679	21	25	35	23	19	25	28	14	18
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	2372	2787	2598	2356	2157	2581	3078	2229	2780
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	4	11	10	8	6	10	7	6	2
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000250575	980	1070	949	911	779	892	1164	881	1132
ENSG00000278757	8	8	4	2	4	6	5	10	8
ENSG00000230021	445	505	465	445	369	466	501	368	493
ENSG00000235146	0	0	0	0	0	0	3	0	0
ENSG00000225972	841	718	822	679	644	815	747	418	668
ENSG00000225630	9060	8923	8779	7763	6655	8935	9625	6399	8140
ENSG00000237973	29472	25707	26112	21205	18529	26014	26343	17366	24311
ENSG00000278791	0	0	2	0	1	2	3	1	1
ENSG00000229344	1428	1372	1599	1155	1031	1384	1344	965	1266
ENSG00000240409	1	3	1	0	7	1	4	1	0
ENSG00000248527	9239	10476	10352	8249	6840	9221	9485	5134	8441
ENSG00000198744	1018	962	1096	845	682	1103	962	611	886
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	4	11	10	8	6	10	7	6	2
ENSG00000229376	1	0	0	0	0	0	0	0	0
ENSG00000228327	3034	3494	3218	2910	2711	3113	3991	2717	3740
ENSG00000223181	0	1	0	2	2	0	0	2	1
ENSG00000229905	0	0	1	0	0	0	0	0	0
ENSG00000237491	153	196	151	128	117	136	182	137	152
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	10	12	27	13	19	16	20	15	18
ENSG00000177757	1	0	0	2	0	0	2	3	2
